lambda_0,n_nonoverlapping_windows,mean_cefi,median_cefi,modal_q_star,fraction_q_le_4,mean_frobenius_norm,mean_dynamic_energy,frobenius_reduction_pct,dynamic_energy_reduction_pct
0.0001,18.0,0.234210916191338,0.2217741010946696,1.0,1.0,3.5407578047685377,13.161225823033874,0.0,0.0
0.001,18.0,0.2295541854959755,0.2194137033682102,1.0,1.0,3.5074907333036176,12.892385030413898,0.939546653547374,2.04267289563157
0.01,18.0,0.1812536390883067,0.1550507513147831,1.0,0.8888888888888888,3.226384563862549,10.775566059608911,8.878699370022003,18.126425269975556
0.1,18.0,0.0255606583891944,0.0137065644663494,1.0,0.5555555555555556,2.039683561405812,4.209670561070814,42.394151933835865,68.01460124099279
0.2,18.0,0.0033245814579513,0.0009977439555589,27.0,0.0555555555555555,1.551638693445086,2.4321887846314394,56.17777947547255,81.52004366968015
0.3,18.0,0.0008437531254366,0.0002159907566655,27.0,0.0555555555555555,1.281812470822726,1.6611925033820183,63.79835782338918,87.37813235850179
0.5,18.0,0.0001760878263625,3.358547811791856e-05,29.0,0.0,0.977198300390536,0.968643317496918,72.40143623846602,92.64017401934048
1.0,18.0,0.0001372313599015,2.0386447373777625e-05,29.0,0.0555555555555555,0.6434171687117893,0.4238495142943225,81.82826377321648,96.77955898642412
2.0,18.0,0.0001172725700278,1.963536294402699e-05,29.0,0.0555555555555555,0.4035547279399744,0.1691273790966662,88.60258876231283,98.71495724356714
3.0,18.0,0.000122716789503,1.7761141323621894e-05,29.0,0.0555555555555555,0.3020016450584834,0.0956481550686271,91.47070594176871,99.2732580053354
5.0,18.0,0.0001163980808597,3.355007415430932e-05,6.0,0.0555555555555555,0.2073744400367639,0.0457147294305605,94.1432187268646,99.65265599082302
10.0,18.0,8.588092837445225e-05,4.0062901128242376e-05,6.0,0.1111111111111111,0.1234885987741355,0.0165614291907317,96.51236809793016,99.87416499486127
