lambda_0,q1_feasible_cefi,mean_cefi,bound_to_reported
0.0001,0.2872668486862332,0.23329189876892326,1.2313622984858654
0.001,0.28120290388953384,0.22321290842300423,1.2597967827050327
0.01,0.23494020861348242,0.18034334618047798,1.302738435264292
0.1,0.08639414027512596,0.025556651553440217,3.3804952927605387
0.2,0.04751766884965371,0.003324851198694978,14.291667810067604
0.3,0.031699954221863835,0.0008438874825570466,37.5641953188006
0.5,0.018208349864881197,0.00017609875436465033,103.3985159666541
1.0,0.008252908640244689,0.00013723434358869514,60.1373418958411
2.0,0.0033910614364193736,0.00011726386275794559,28.918213647960368
3.0,0.0019195094281284854,0.00012271780902991283,15.641653345201096
5.0,0.0008936481026918854,0.00011640005198971354,7.677385769302393
10.0,0.0002922004856459992,8.587950181997848e-05,3.4024473763077125
