lambda_0,window_id,reported_cefi,reported_q_star,q1_feasible_cefi,absolute_witness_gap
0.01,9,0.22748389509803157,1,0.3258038414146336,0.09831994631660201
0.01,10,0.16742630684593665,1,0.2534787193795621,0.08605241253362547
0.01,11,0.20052202133321875,1,0.23308686030603956,0.03256483897282081
0.01,12,0.14274162147116823,4,0.19108327501467262,0.04834165354350439
0.01,13,0.20392291065594095,1,0.22438021302141445,0.020457302365473495
0.01,14,0.1302164668153204,1,0.15527675655390183,0.02506028973858143
0.01,15,0.32780254243923307,2,0.37900939674552686,0.05120685430629379
0.01,16,0.15262033590982624,3,0.1824450096443989,0.02982467373457265
0.01,17,0.12193097369329747,1,0.1527011507497376,0.03077017705644014
0.1,0,0.14284999214590285,1,0.1672818253631899,0.024431833217287036
0.1,1,0.06286518618505324,1,0.1060016740244413,0.04313648783938806
0.1,2,0.021003753819263928,3,0.11542041452347393,0.09441666070421001
0.1,3,0.012035993516002166,1,0.07231088884043159,0.06027489532442942
0.1,4,0.010564184487868528,13,0.06005551027966713,0.0494913257917986
0.1,5,0.014395336478434398,9,0.08582743056506258,0.07143209408662818
0.1,6,0.01067137550351542,5,0.09097163250342859,0.08030025699991317
0.1,7,0.006702654034630426,4,0.057327132500550645,0.05062447846592022
0.1,8,0.02519797636857509,2,0.10728624725078836,0.08208827088221327
0.1,9,0.02079712586375751,2,0.08873184266671377,0.06793471680295626
0.1,10,0.005687762486817072,18,0.0790283525623088,0.07334059007549174
0.1,11,0.015102174803735012,3,0.07938489513683908,0.06428272033310406
0.1,12,0.007634197064493267,11,0.06456285219031628,0.05692865512582301
0.1,13,0.013017792454263537,1,0.0740084537397338,0.06099066128547027
0.1,14,0.016710560002124113,7,0.08536981351307413,0.06865925351095001
0.1,15,0.06317857924049382,1,0.1034968460926707,0.040318266852176876
0.1,16,0.004955648760434722,18,0.0515960392907037,0.04664039053026898
0.1,17,0.006721557790131227,14,0.054996022785666024,0.048274464995534797
0.2,0,0.02797537096744935,3,0.1072517724344019,0.07927640146695256
0.2,1,0.002190000692651649,18,0.0703813444353957,0.06819134374274405
0.2,2,0.0023528666332125955,23,0.06541253514826562,0.06305966851505301
0.2,3,0.0013462406085952075,21,0.037208861290444754,0.03586262068184955
0.2,4,0.0008439246559207719,22,0.03311396298023498,0.03227003832431421
0.2,5,0.0011282567523839618,23,0.048619307790799954,0.04749105103841599
0.2,6,0.0006873785780804262,27,0.04266580116301366,0.041978422584933235
0.2,7,0.00079781358609117,28,0.029771846392672073,0.028974032806580903
