lambda_0,n_nonoverlapping_windows,min_mean_cefi_across_q,max_mean_cefi_across_q,range_mean_cefi_across_q,std_mean_cefi_across_q,mean_window_range_across_q,mean_cefi_q1,mean_cefi_q2,mean_cefi_q3,mean_cefi_q4,mean_cefi_q5,mean_cefi_q6,mean_cefi_q7,mean_cefi_q8,mean_cefi_q9,mean_cefi_q10,mean_cefi_q11,mean_cefi_q12,mean_cefi_q13,mean_cefi_q14,mean_cefi_q15,mean_cefi_q16,mean_cefi_q17,mean_cefi_q18,mean_cefi_q19,mean_cefi_q20,mean_cefi_q21,mean_cefi_q22,mean_cefi_q23,mean_cefi_q24,mean_cefi_q25,mean_cefi_q26,mean_cefi_q27,mean_cefi_q28,mean_cefi_q29
0.5,18,-0.009356735114330073,3.741593612115912e-05,0.009394151050451232,0.0028240760275399313,0.00993545186392931,-0.009356735114330073,-0.008773520241102194,-0.007651541342390964,-0.007115465418664382,-0.006335559345971778,-0.006187377379115063,-0.005760857947757374,-0.005305165356208348,-0.004748878053784932,-0.004514599879987878,-0.003996077243806839,-0.0035545618164842746,-0.0033893886537754657,-0.0029820428856929576,-0.002478142599932172,-0.0022744694894417552,-0.001911095682069568,-0.0017448363802349076,-0.0014402484505709383,-0.0012394882583825614,-0.0010225833120090658,-0.0007428547394778442,-0.0005909301877625579,-0.00045274655131089143,-0.0003294339833849303,-0.00021471628754375397,-0.00010974656693502398,-1.6618611992199467e-05,3.741593612115912e-05
1.0,18,-0.004324132170502938,5.647647253859327e-06,0.004329779817756797,0.0012395427353822232,0.0046169449452175305,-0.004324132170502938,-0.003982492152840664,-0.003441558042001005,-0.0029673068692324914,-0.0025643318612895275,-0.002340011823611924,-0.0022295026853917576,-0.0019840288079507823,-0.001789640845520472,-0.0016543232329647166,-0.0015370198036682675,-0.0013420234194552658,-0.0012337321222724142,-0.00106851902298031,-0.0009338466728795285,-0.0008193399072258064,-0.0006991444111832585,-0.0006084129970469981,-0.0005147491504748042,-0.000437958239368291,-0.0003633795290298731,-0.0002772549618899884,-0.0001950289502457262,-0.00015429516369672912,-0.00011521598409970049,-7.62794349555336e-05,-5.4441903149331705e-05,-1.853831984158408e-05,5.647647253859327e-06
2.0,18,-0.0016872179089997075,5.635825594423375e-06,0.001692853734594131,0.0004333579724145103,0.0018246556211100199,-0.0016872179089997075,-0.001427403406301818,-0.001108715449408144,-0.0008617301079597005,-0.0006496103281065758,-0.0005439938044584367,-0.0005364845195470216,-0.0004591041998508634,-0.00042591132094500496,-0.00037037772287690343,-0.00036154955603029664,-0.00029298795200837185,-0.0002741905634348255,-0.00023330767993828518,-0.00020165579510902448,-0.00017555966969152117,-0.00014229403036428422,-0.00012266129420048427,-0.00010006941048179276,-8.919911701804987e-05,-6.81600678481491e-05,-4.826805917802093e-05,-2.3752617114766842e-05,-1.7795443517922226e-05,-1.371278559152717e-05,-4.737826527214525e-06,-2.5208232649292906e-06,3.014226711507584e-06,5.635825594423375e-06
3.0,18,-0.0009080078523472408,6.463283193762768e-06,0.0009144711355410036,0.00021914516594175883,0.0010398812491162022,-0.0009080078523472408,-0.0007015448604416587,-0.0004935271501394357,-0.00034997181642449217,-0.00022614791569395193,-0.00017177097516241495,-0.00018365405754979308,-0.00014231583644305258,-0.00013505441958113667,-0.00010979080251653236,-0.0001158336593390208,-8.220203579689665e-05,-8.202897650455787e-05,-6.778191809076846e-05,-5.686705597306563e-05,-4.968314832231322e-05,-3.587381406731474e-05,-3.0458952984307386e-05,-2.247025227821793e-05,-1.9619467596406754e-05,-1.2981561045959328e-05,-6.478601450572432e-06,4.104068100365787e-06,4.040028119024986e-06,2.6003288155817777e-06,6.463283193762768e-06,5.483627334307071e-06,5.702344763454266e-06,5.177804157478423e-06
5.0,18,-0.0003801042495215215,1.2342301866678545e-05,0.00039244655138820003,8.890773982451839e-05,0.0005007665787074588,-0.0003801042495215215,-0.00025707328975312175,-0.0001482964209013578,-8.110808316129771e-05,-2.324244451558224e-05,-6.596915388672981e-07,-1.7195630889637384e-05,3.3782485022331603e-06,-3.6262123011436577e-07,8.134740433736924e-06,-2.030784548634711e-06,1.0338583243098117e-05,3.941235948494442e-06,5.25384603461603e-06,6.483070008853359e-06,5.0986422977060504e-06,8.75621891498434e-06,7.89034971837055e-06,8.97186587987271e-06,8.878145400951593e-06,9.065684262216487e-06,9.43393044299268e-06,1.2342301866678545e-05,1.0166109732727356e-05,7.432496134924804e-06,8.861343726965197e-06,7.008314440501039e-06,5.27846066416052e-06,3.7964956346704063e-06
10.0,18,-0.0001035272962558412,3.776408579359014e-05,0.00014129138204943136,2.7675064759363218e-05,0.00020542080092001097,-0.0001035272962558412,-5.329357266192357e-05,-9.733315112443788e-06,1.1586258187797948e-05,3.130882642209194e-05,3.776408579359014e-05,2.6242958883691684e-05,3.6103734257594325e-05,3.1238924351076436e-05,3.246586547052532e-05,2.4934709485365174e-05,2.6918971264138312e-05,2.14861542357767e-05,1.9339050208607754e-05,1.809305240759277e-05,1.5184560002704069e-05,1.50967894273401e-05,1.3185193332040976e-05,1.2368843350028204e-05,1.2063132928856424e-05,1.0673056072164101e-05,9.537843315765875e-06,9.533274972039436e-06,7.63083776098326e-06,5.9367694745489016e-06,6.197055541260704e-06,4.759110868785161e-06,3.235402325884862e-06,2.2512278748813914e-06
