T,frob_norm,ce_svd,ce_fixed,ce_adaptive,attn_fixed,attn_adaptive,q_svd,q_fixed,q_adaptive
60,2.320963170852622,0.3481890193161069,0.16734229972670883,0.17557624616940187,0.48060763103728277,0.5042555520971304,1,1,1
120,1.9296371953016493,0.16452865425953875,0.10493066177518726,0.11180666143229331,0.637765271024842,0.6795573812688083,1,2,1
250,1.850675661042592,0.0979521972191724,0.050948194753109494,0.07163291580179362,0.520133250703,0.7313048388441128,1,2,2
500,1.8207651397887121,0.08453302476907848,0.04100690065925702,0.05353334552833408,0.48509917598804564,0.6332832129759086,1,4,2
1000,1.7946958699814346,0.061791988016559996,0.036571147646153046,0.05054689790856309,0.591842871867986,0.8180170201841821,1,2,2
2500,1.7342530847908828,0.05201956662755387,0.029840706647251886,0.0450440732455504,0.5736438917475675,0.8659063534314668,1,2,2
5000,1.724678955882778,0.04761665201113817,0.03741343343576148,0.04573718713912758,0.7857216300509742,0.9605292520026197,1,2,2
