g,frob_norm,ce_svd,ce_fixed,ce_adaptive,attn_fixed,attn_adaptive,q_svd,q_fixed,q_adaptive
0.02,0.6755780683950399,0.0032523441413118692,0.0005540040607334446,0.003118053294302467,0.17033992611556195,0.9587095211408856,1,2,1
0.05,0.7000255642491441,0.008861436386242375,0.0010599810271753364,0.007970660076102202,0.11961729238625311,0.8994772098659842,1,2,1
0.1,0.7811166125549567,0.020262922768121187,0.0012351298894133066,0.016635877563331174,0.0609551693774644,0.8210008868761869,1,2,2
0.2,1.0443048643175619,0.05047534869480393,0.004221506252380016,0.03728562096485301,0.08363500919835327,0.7386897154549283,1,1,2
0.35,1.5529822083701719,0.10975485545784963,0.03589384844158656,0.07375293496489765,0.32703654240947244,0.6719787899791076,1,2,2
0.5,2.1103504591022926,0.17686289420035867,0.08638527406962465,0.11354307082084678,0.48843073873801546,0.6419835620931308,1,2,2
0.7,2.8804539499976705,0.26549351008445987,0.15048966631517882,0.16689446345017991,0.566829924646009,0.6286197481704422,1,2,2
0.85,3.467036700710581,0.3263808079345608,0.19506000596469725,0.20492017240222676,0.5976454534784003,0.6278560730915071,1,2,2
