,SOI,NAO,PDO,AO,AMO,NINO34,PNA,WP,EA,EPO
2011-04,3.1,2.55,-0.42,2.275,0.071,27.37,-1.78,-1.93,1.23,-0.63
2011-05,0.6,-0.01,-0.37,-0.035,0.131,27.72,0.25,0.38,-1.52,-1.18
2011-06,0.4,-0.98,-0.69,-0.858,0.157,27.82,0.35,0.81,-0.33,-0.48
2011-07,1.6,-1.48,-1.86,-0.472,0.071,27.54,-0.75,-0.27,-0.79,-2.23
2011-08,0.7,-1.85,-1.74,-1.063,0.126,26.93,1.4,-0.51,0.97,-0.67
2011-09,1.7,0.67,-1.79,0.665,0.123,26.73,-0.39,0.51,-0.29,-0.53
2011-10,1.2,0.94,-1.34,0.8,0.042,26.48,0.86,1.06,0.12,-0.81
2011-11,1.8,1.3,-2.33,1.459,-0.092,26.4,-0.76,0.39,2.08,-1.34
2012-01,1.8,0.86,-1.38,-0.22,-0.086,26.26,0.13,-1.58,-0.46,-1.92
2012-02,0.8,0.03,-0.85,-0.036,-0.017,26.61,0.7,1.01,-0.64,-0.33
2012-03,1.2,0.93,-1.05,1.037,0.005,27.08,-0.19,0.82,1.35,-2.59
2012-04,-0.4,0.37,-0.27,-0.035,0.059,27.72,-0.09,-0.29,-1.59,0.31
2012-05,0.1,-0.79,-1.26,0.168,0.143,27.97,-0.29,-1.66,-0.47,-1.46
2012-06,-0.7,-2.25,-0.87,-0.672,0.279,28.08,-0.42,-1.39,0.01,-0.95
2012-07,-0.1,-1.29,-1.52,0.168,0.354,27.95,-0.57,0.58,-1.43,-1.01
2012-08,-0.3,-1.39,-1.93,0.014,0.41,27.94,-0.2,-0.07,1.15,0.63
2012-09,0.4,-0.43,-2.21,0.772,0.427,27.72,-0.39,0.69,-0.49,0.16
2012-10,0.5,-1.73,-0.79,-1.514,0.308,27.64,-1.13,-2.53,-1.01,0.58
2012-11,0.4,-0.74,-0.59,-0.111,0.144,27.66,-1.06,-2.02,-0.59,0.12
2013-01,-0.1,-0.11,-0.13,-0.61,0.107,26.86,0.05,0.07,0.46,0.12
2013-02,-0.4,-0.96,-0.43,-1.007,0.094,26.89,0.3,1.49,-1.28,-0.88
2013-03,2.5,-2.09,-0.63,-3.185,0.137,27.38,-0.26,0.59,2.31,0.7
2013-04,0.4,0.6,-0.16,0.322,0.115,27.92,-1.76,-1.86,-0.4,1.24
2013-05,1.3,0.58,0.08,0.494,0.08,27.93,-0.24,-1.13,-2.06,-0.26
2013-06,2.0,0.83,-0.78,0.549,0.025,27.75,-0.35,-0.47,-2.3,1.68
2013-07,1.3,0.7,-1.25,-0.011,0.169,27.49,-0.71,-0.88,-0.17,0.93
2013-08,0.3,1.12,-1.04,0.154,0.173,27.15,-0.06,-0.17,-1.94,-1.09
2013-09,0.5,0.38,-0.48,-0.461,0.233,27.32,0.41,1.93,-0.58,-1.44
2013-10,-0.1,-0.88,-0.87,0.263,0.325,27.23,-0.21,-0.09,0.63,0.99
2013-11,1.2,0.81,-0.11,2.029,0.107,27.45,-1.14,-0.04,-0.88,1.16
2014-01,2.4,-0.17,0.3,-0.969,-0.083,26.92,0.59,0.54,-1.32,1.11
2014-02,0.1,1.07,0.38,0.044,-0.064,27.02,-1.57,-1.37,-1.93,0.31
2014-03,-1.5,0.44,0.97,1.206,-0.103,27.73,-0.5,-0.43,-0.11,1.24
2014-04,1.3,0.19,1.13,0.972,-0.116,28.45,-0.0,-1.36,1.23,0.05
2014-05,0.9,-0.8,1.8,0.464,-0.023,28.71,-0.59,-0.85,-1.45,0.77
2014-06,0.3,-0.67,0.82,-0.507,0.04,28.44,-1.44,-0.3,0.03,-0.69
2014-07,-0.3,0.21,0.7,-0.489,0.2,27.85,0.5,-1.63,-0.31,0.33
2014-08,-1.2,-2.28,0.67,-0.371,0.313,27.64,1.35,-0.77,-1.69,-1.03
2014-09,-1.2,1.72,1.08,0.102,0.288,27.73,0.78,-1.23,0.47,0.2
2014-10,-1.0,-0.87,1.49,-1.134,0.27,27.83,1.14,-0.32,-0.37,-0.66
2014-11,-1.5,0.58,1.72,-0.53,0.043,28.16,0.64,0.13,1.28,3.21
2015-01,-1.4,1.57,2.45,1.092,-0.03,27.8,0.14,-0.22,-0.24,1.27
2015-02,0.4,1.05,2.3,1.043,-0.026,27.92,0.49,-1.37,-0.92,1.18
2015-03,-1.2,1.12,2.0,1.837,-0.151,28.35,-0.52,0.41,0.27,1.13
2015-04,-0.1,0.64,1.44,1.216,-0.093,29.09,-0.39,1.23,1.12,-0.35
2015-05,-1.2,0.19,1.2,0.763,0.023,29.28,-0.05,2.14,-1.5,0.49
2015-06,-0.9,0.24,1.54,0.427,0.007,29.26,-0.07,-0.03,-0.78,1.72
2015-07,-1.9,-3.14,1.84,-1.108,0.11,29.07,0.29,0.77,2.01,0.23
2015-08,-2.4,-1.1,1.56,-0.689,0.156,28.98,0.05,-1.5,-0.37,-0.28
2015-09,-2.7,-0.49,1.94,-0.165,0.278,29.1,-0.8,-1.38,-1.67,-1.38
2015-10,-2.8,0.99,1.47,-0.25,0.302,29.3,2.12,-0.75,0.59,0.33
2015-11,-0.8,1.7,0.86,1.945,0.164,29.54,-0.2,0.77,0.56,-0.94
2016-01,-3.6,-0.37,1.53,-1.449,0.209,29.3,1.94,0.96,-0.5,-0.35
2016-02,-3.2,1.35,1.75,-0.024,0.133,29.12,1.68,1.61,-2.39,0.23
2016-03,-0.1,0.37,2.4,0.28,0.166,29.11,0.41,-0.2,0.26,0.24
2016-04,-2.0,0.26,2.62,-1.051,0.155,29.1,0.6,-0.26,-0.5,1.47
2016-05,0.7,-0.67,2.35,-0.036,0.322,28.81,-0.85,0.62,-1.99,0.14
2016-06,1.1,-0.13,2.03,0.313,0.387,28.4,-0.64,-0.62,-1.85,1.26
2016-07,0.7,-1.72,1.25,0.085,0.41,27.73,0.53,-1.42,-1.01,-0.36
2016-08,1.2,-2.24,0.52,0.472,0.434,27.39,-0.91,-0.37,-3.3,-0.42
2016-09,2.0,0.74,0.45,0.781,0.435,27.22,0.11,-1.75,0.13,-1.41
2016-10,-0.4,0.96,0.56,-1.917,0.358,27.0,1.53,0.54,-1.33,-0.84
2016-11,-0.2,-0.31,1.88,-0.611,0.368,26.95,1.44,1.01,-0.93,-1.43
2017-01,0.3,0.05,0.77,0.942,0.203,26.94,-0.29,0.55,0.63,0.39
2017-02,-0.1,0.69,0.7,0.34,0.204,27.48,-0.05,-0.15,1.14,0.21
2017-03,1.5,0.37,0.74,1.365,0.145,27.79,-0.03,-2.13,-1.02,-1.04
2017-04,-0.3,1.74,1.12,-0.089,0.26,28.36,0.14,-0.36,0.71,1.04
2017-05,0.4,-1.72,0.88,-0.73,0.292,28.58,-0.19,0.68,1.48,-0.72
2017-06,-0.7,0.35,0.79,0.402,0.285,28.48,1.18,-0.75,0.34,0.5
2017-07,1.3,1.28,0.1,0.634,0.28,28.1,1.33,0.46,-0.58,0.0
2017-08,0.9,-1.53,0.09,0.15,0.287,27.54,0.2,-1.38,-2.93,-1.65
2017-09,1.0,-0.45,0.32,-0.492,0.328,27.23,-0.32,-1.23,-2.52,-0.46
2017-10,1.5,0.71,0.05,0.69,0.411,27.26,-0.28,0.7,-0.02,-0.58
2017-11,1.5,-0.14,0.15,-0.078,0.329,26.88,-1.98,0.7,-1.21,0.41
2018-01,1.8,1.17,0.7,-0.281,0.15,26.53,-0.14,0.43,-1.62,0.66
2018-02,-0.8,1.34,0.37,0.113,0.04,26.78,-1.67,0.4,-1.4,0.23
2018-03,2.4,-1.38,-0.05,-0.941,0.109,27.12,-1.16,0.84,4.03,0.3
2018-04,0.8,1.2,0.11,0.544,0.041,27.9,-1.12,-0.67,0.49,-0.18
2018-05,0.6,2.02,0.11,1.18,-0.023,28.35,-1.09,-0.19,-1.45,-0.98
2018-06,-0.2,1.41,-0.04,0.38,-0.034,28.34,0.66,-0.44,-0.24,0.05
2018-07,0.4,1.42,0.11,0.612,-0.005,28.12,-0.76,-0.81,-2.16,-0.16
2018-08,-0.5,2.4,0.18,0.836,0.09,27.84,1.24,-1.38,-0.47,-0.78
2018-09,-1.5,1.78,0.09,0.585,0.139,27.93,1.16,-1.78,-1.76,-0.83
2018-10,0.6,1.53,0.26,0.413,0.121,28.39,0.39,-1.14,0.36,1.17
2018-11,-0.1,-0.25,-0.05,-1.116,-0.143,28.48,0.22,-0.61,1.51,1.42
2019-01,-0.1,0.18,0.66,-0.713,-0.037,28.05,0.42,1.05,0.72,1.07
2019-02,-2.3,-0.11,0.46,1.149,0.058,28.13,-1.73,2.09,0.45,1.2
2019-03,-0.5,0.89,0.37,2.116,0.099,28.53,-0.05,0.88,-1.15,2.11
2019-04,0.2,0.36,1.07,-0.255,0.101,28.83,-0.84,-1.3,0.82,0.67
2019-05,-0.7,-2.38,1.03,-1.231,0.065,29.01,-0.17,-0.63,-0.7,0.32
2019-06,-0.7,-0.79,1.09,-0.601,0.151,28.83,0.24,-1.92,0.3,1.74
2019-07,-0.6,-1.39,1.03,-0.89,0.329,28.37,0.62,-0.27,1.02,0.1
2019-08,-0.2,-1.62,0.38,-0.722,0.315,27.84,1.16,-2.19,-1.68,-1.18
2019-09,-1.9,-0.01,0.41,0.306,0.223,27.61,1.62,0.86,0.79,-1.5
2019-10,-0.6,-1.03,-0.45,-0.082,0.136,28.16,-0.97,-0.81,-0.52,-0.47
2019-11,-1.4,0.16,0.15,-1.193,0.087,28.14,-0.07,-0.12,-0.59,1.93
2020-01,0.3,1.05,-0.23,2.419,0.073,28.01,-0.95,0.69,0.66,-0.6
2020-02,-0.1,0.98,-0.68,3.417,0.333,27.93,-0.07,1.46,-0.06,-1.79
2020-03,-0.2,0.66,-0.82,2.641,0.346,28.26,-2.41,1.29,0.57,0.44
2020-04,0.3,-1.26,-0.57,0.928,0.347,28.67,-1.38,-1.34,1.82,1.54
2020-05,0.7,-0.33,0.09,-0.027,0.243,28.22,0.27,0.12,-0.55,0.04
2020-06,-0.6,0.16,-0.08,-0.122,0.249,27.98,0.86,-1.25,-2.01,-0.69
2020-07,0.7,-1.19,-0.38,-0.412,0.341,27.8,1.2,-0.54,-0.68,-1.97
2020-08,1.8,0.03,-0.28,-0.381,0.425,27.2,1.8,-0.21,0.64,-2.39
2020-09,1.5,1.11,-0.7,0.631,0.296,26.77,0.59,-2.44,-0.94,0.06
2020-10,0.8,-0.2,-0.69,-0.072,0.289,26.48,-1.08,-1.18,-1.82,0.57
2020-11,1.1,2.54,-1.12,2.086,0.113,26.44,0.21,0.72,0.08,-0.66
2021-01,3.2,-1.8,-0.16,-2.484,0.126,26.05,-0.41,2.45,-1.34,-0.71
2021-02,2.5,-0.29,-0.54,-1.191,0.139,26.25,-0.71,0.76,0.83,-0.8
2021-03,0.6,0.36,-1.17,2.109,0.112,26.97,-1.24,2.05,2.98,-1.29
2021-04,0.6,-1.69,-0.91,-0.204,0.054,27.54,-1.26,-0.12,-0.43,0.8
2021-05,0.8,-1.1,-0.94,-0.161,0.072,27.93,-1.1,0.18,-1.22,0.0
2021-06,0.7,1.08,-1.18,0.845,0.139,28.0,0.82,-0.82,-1.77,-0.26
2021-07,2.3,0.06,-1.87,0.63,0.21,27.54,0.11,-0.44,-0.49,-1.28
2021-08,1.0,-0.49,-1.12,-0.209,0.245,27.13,0.93,-1.94,-2.37,-1.82
2021-09,1.3,-0.06,-1.53,-0.252,0.402,26.94,0.33,-0.65,0.53,-1.89
2021-10,1.2,-1.98,-2.55,-0.146,0.475,26.64,1.41,1.74,-0.62,-2.42
2021-11,1.6,-0.33,-2.52,0.093,0.445,26.63,0.68,-0.15,0.01,0.34
2022-01,0.8,0.74,-1.24,0.848,0.176,26.61,0.65,-1.44,1.11,0.51
2022-02,1.8,1.46,-1.08,1.544,0.133,26.71,0.58,-0.39,-0.92,-0.9
2022-03,2.9,0.4,-1.0,0.305,0.009,26.94,-0.16,0.58,1.41,0.35
2022-04,2.8,-0.54,-1.51,-0.603,0.11,27.27,-0.96,0.31,-0.09,-0.73
2022-05,2.4,0.71,-1.92,1.224,0.197,27.4,-0.64,-1.38,0.9,-0.34
2022-06,2.8,0.19,-1.21,-0.074,0.199,27.51,-0.22,-1.66,-0.51,-0.04
2022-07,1.3,-0.06,-2.86,0.025,0.136,27.22,1.96,-0.52,-1.17,-1.64
2022-08,1.7,1.76,-1.92,-0.17,0.358,26.69,0.76,-0.41,-3.43,-1.11
2022-09,2.7,-1.42,-1.82,-0.655,0.662,26.5,0.13,1.82,-1.05,-0.81
2022-10,2.8,-0.27,-1.51,1.346,0.483,26.56,0.35,1.04,-0.74,-0.06
2022-11,0.5,0.59,-2.12,0.339,0.282,26.59,-0.71,0.34,0.8,0.42
2023-01,2.3,0.95,-0.92,-0.674,0.192,26.6,-0.37,1.99,-0.61,1.36
